0,Counter-Strike
1,Team Fortress Classic
2,Day of Defeat
3,Deathmatch Classic
4,Half-Life: Opposing Force
5,Ricochet
6,Half-Life
7,Half-Life: Blue Shift
8,Day of Defeat: Source
9,Counter-Strike: Source
10,Psychonauts
11,Sid Meier's Pirates!
12,Joint Task Force
13,Deus Ex: Game of the Year Edition
14,Half-Life 2
15,Half-Life 2: Deathmatch
16,Half-Life 2: Lost Coast
17,Half-Life Deathmatch: Source
18,Half-Life 2: Episode One
19,Portal
20,Half-Life 2: Episode Two
21,Unreal Gold
22,Virtual Villagers: A New Home
23,World of Goo
24,Left 4 Dead
25,Mass Effect
26,Burnout Paradise: The Ultimate Box
27,Zeno Clash
28,Braid
29,Killing Floor
30,Freedom Force
31,Osmos
32,AaAaAA!!! - A Reckless Disregard for Gravity
33,Darkest of Days
34,Left 4 Dead 2
35,Borderlands
36,Torchlight
37,Dragon Age: Origins
38,King's Bounty: Armored Princess
39,King's Bounty: The Legend
40,Mass Effect 2
41,Bob Came in Pieces
42,Shatter
43,Just Cause 2
44,Beat Hazard
45,F.E.A.R.
46,Arma 2
47,Arma 2: Operation Arrowhead
48,Mafia II
49,Chime
50,Poker Night at the Inventory
51,Amnesia: The Dark Descent
52,Serious Sam HD: The First Encounter
53,Serious Sam Classic: The First Encounter
54,Serious Sam Classic: The Second Encounter
55,Serious Sam Classics: Revolution
56,DeathSpank
57,Fallout: New Vegas
58,Flight Control HD
59,Super Meat Boy
60,Gish
61,And Yet It Moves
62,Jolly Rover
63,Recettear: An Item Shop's Tale
64,Altitude
65,Gratuitous Space Battles
66,DogFighter
67,Plain Sight
68,Flotilla
69,Total War: SHOGUN 2
70,Monday Night Combat
71,Portal 2
72,Magicka
73,The Wonderful End of the World
74,Defense Grid: The Awakening
75,Cogs
76,The Ball
77,Toki Tori
78,RUSH
79,BIT.TRIP BEAT
80,Half-Life: Source
81,The Witcher 2: Assassins of Kings Enhanced Edition
82,Terraria
83,Frozen Synapse
84,S.T.A.L.K.E.R.: Shadow of Chernobyl
85,Saints Row 2
86,Homefront
87,MX vs. ATV Reflex
88,Bastion
89,Tropico 4
90,The Binding of Isaac
91,Dungeon Defenders
92,RAGE
93,Greed Corp
94,SpaceChem
95,Crusader Kings II
96,L.A. Noire
97,The Walking Dead
98,Toy Soldiers
99,Spec Ops: The Line
100,Arx Fatalis
101,Dishonored
102,Counter-Strike: Global Offensive
103,Borderlands 2
104,FTL: Faster Than Light
105,Torchlight II
106,Hotline Miami
107,Rocketbirds: Hardboiled Chicken
108,BioShock Infinite
109,XCOM: Enemy Unknown
110,Scribblenauts Unlimited
111,Baldur's Gate: Enhanced Edition
112,Star Conflict
113,PlanetSide 2
114,War Thunder
115,Peggle Extreme
116,Tomb Raider
117,Papo & Yo
118,Prison Architect
119,Don't Starve Together
120,Reus
121,Rogue Legacy
122,Rise of the Triad
123,FINAL FANTASY VII
124,Brothers - A Tale of Two Sons
125,Risk of Rain
126,Spelunky
127,PAYDAY 2
128,Saints Row IV
129,Europa Universalis IV
130,The Wolf Among Us
131,The Binding of Isaac: Rebirth
132,Long Live The Queen
133,Enclave
134,Baldur's Gate II: Enhanced Edition
135,South Park™: The Stick of Truth™
136,Deus Ex: Human Revolution - Director's Cut
137,Democracy 3
138,The Stanley Parable
139,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™
140,Contagion
141,Ori and the Blind Forest
142,Out There Somewhere
143,FINAL FANTASY VIII
144,Divinity: Original Sin (Classic)
145,Broken Age
146,The Banner Saga
147,Freespace 2
148,Insurgency
149,Sven Co-op
150,Creeper World 3: Arc Eternal
151,DARK SOULS™ II
152,Wolfenstein: The New Order
153,Valkyria Chronicles™
154,PARTICLE MACE
155,Transistor
156,Dead Bits
157,Ultimate General: Gettysburg
158,Grim Fandango Remastered
159,Squishy the Suicidal Pig
160,This War of Mine
161,Armikrog
162,The Talos Principle
163,Besiege
164,Cities: Skylines
165,Killing Floor 2
166,Fallout 4
167,Undertale
168,Tahira: Echoes of the Astral Empire
169,Kingdom: Classic
170,Kingdom: New Lands
171,Company of Heroes 2
172,Sins Of The Demon RPG
173,DOOM
174,Evolve Stage 2
175,Counter-Strike: Condition Zero
176,Garry's Mod
177,Just Cause
178,Quake III Arena
179,Wolfenstein 3D
180,Final DOOM
181,HeXen: Beyond Heretic
182,HeXen: Deathkings of the Dark Citadel
183,Heretic: Shadow of the Serpent Riders
184,Return to Castle Wolfenstein
185,DOOM 3
186,HeXen II
187,Alpha Prime
188,RACE: Caterham Expansion
189,RACE 07
190,Children of the Nile: Alexandria
191,Dead Space
192,The Path
193,Puzzle Kingdoms
194,Operation Flashpoint: Dragon Rising
195,ItzaBitza
196,ItzaZoo
197,Coniclysm
198,Ship Simulator Extremes
199,Hacker Evolution
